theme_code,theme_label,reasoning,raw_response,error,respondent_id,A1_zone,vendor_food,C3_safe_harbour_aware,B1b_registered_binary,F1_text
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0024,1,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0025,1,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0026,2,0,0,0,Mere grahak cash hi dete hain
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0027,3,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0028,2,0,1,1,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0029,1,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0030,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0031,1,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0032,2,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0033,1,0,0,0,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0034,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0035,3,0,0,0,Darr hai ke FBR aa jaye ga
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0036,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0037,3,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0038,1,1,0,0,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0039,3,0,0,1,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0040,1,0,1,0,Registration ka tareeqa bohat mushkil lagta hai
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0041,1,0,1,0,Hamari dukan chhoti hai digital ki zaroorat nahi
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0042,3,0,0,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0043,1,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0044,1,1,0,0,Fees zyada hain wallets ki
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0045,3,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0046,3,1,0,0,Fees zyada hain wallets ki
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0047,3,0,0,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0048,2,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0049,1,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0050,2,1,0,1,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0051,1,0,1,0,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0052,1,0,1,0,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0053,1,1,0,0,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0054,2,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0055,2,1,0,1,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0056,2,0,1,0,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0057,1,0,1,1,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0058,2,0,0,1,Internet sahi nahi hota yahan
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0059,1,0,1,1,Jab safe harbour ka pata chala to main ne register kar liya
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0060,1,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0061,1,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0062,2,1,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0063,2,0,0,1,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0064,3,1,0,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0065,3,1,0,0,Internet sahi nahi hota yahan
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0066,2,0,0,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0067,3,0,0,1,Darr hai ke FBR aa jaye ga
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0068,3,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0069,2,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0070,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0071,1,0,1,1,Paisa account mein aata hai toh KPRA dekh leta hai
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0072,1,0,0,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0073,3,1,0,0,Darr hai ke FBR aa jaye ga
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0074,3,0,1,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0075,3,0,0,0,Darr hai ke FBR aa jaye ga
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0076,3,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0077,1,1,1,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0078,3,0,0,1,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0079,3,0,0,1,Mere grahak cash hi dete hain
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0080,3,1,1,0,Fees zyada hain wallets ki
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0081,1,1,0,0,Internet sahi nahi hota yahan
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0082,2,0,0,1,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0083,3,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0084,2,1,0,1,Sab log cash mein karte hain toh main kyun badulon?
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0085,3,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0086,2,0,0,0,Fees zyada hain wallets ki
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0087,2,1,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0088,1,0,0,0,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0089,3,0,0,0,Mere grahak cash hi dete hain
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0090,1,0,1,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0091,2,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0092,3,1,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0093,2,0,0,1,Fees zyada hain wallets ki
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0094,1,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0095,1,0,0,1,Registration ka tareeqa bohat mushkil lagta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0096,3,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0097,1,0,1,0,Darr hai ke FBR aa jaye ga
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0098,1,1,0,1,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0099,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0100,3,0,0,0,Fees zyada hain wallets ki
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0101,3,0,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0102,3,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0103,2,1,0,0,Mere grahak cash hi dete hain
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0104,1,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0105,3,0,1,0,Darr hai ke FBR aa jaye ga
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0106,2,0,1,0,Hamari dukan chhoti hai digital ki zaroorat nahi
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0107,3,1,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0108,1,0,0,0,Mere grahak cash hi dete hain
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0109,2,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0110,2,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0111,1,0,1,0,Darr hai ke FBR aa jaye ga
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0112,3,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0113,1,0,0,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0114,1,0,0,0,Darr hai ke FBR aa jaye ga
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0115,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0116,2,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0117,2,1,0,1,Sab log cash mein karte hain toh main kyun badulon?
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0118,2,0,0,0,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0119,3,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0120,3,1,0,0,Mere grahak cash hi dete hain
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0121,2,0,0,0,Darr hai ke FBR aa jaye ga
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0122,3,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0123,3,1,0,0,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0124,1,0,0,1,Registration ka tareeqa bohat mushkil lagta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0125,2,0,0,0,Mere grahak cash hi dete hain
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0126,2,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0127,1,1,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0128,1,1,0,1,Sab log cash mein karte hain toh main kyun badulon?
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0129,2,0,0,0,Fees zyada hain wallets ki
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0130,2,0,1,1,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0131,3,0,0,0,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0132,1,1,1,0,Internet sahi nahi hota yahan
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0133,2,0,1,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0134,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0135,2,1,1,1,Fees zyada hain wallets ki
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0136,2,0,0,0,Internet sahi nahi hota yahan
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0137,1,0,1,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0138,3,1,0,0,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0139,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0140,3,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0141,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0142,3,0,1,0,Hamari dukan chhoti hai digital ki zaroorat nahi
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0143,2,1,0,1,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0144,2,1,0,0,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0145,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0146,1,0,0,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0147,3,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0148,2,1,1,1,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0149,2,1,0,1,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0150,1,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0151,3,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0152,1,0,0,1,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0153,3,0,0,0,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0154,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0155,2,1,0,0,Internet sahi nahi hota yahan
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0156,3,1,1,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0157,1,0,1,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0158,1,1,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0159,1,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0160,1,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
